file,recovery,drop
00e03657-8e1e-4c8c-a724-1d3c77b48510,"[[2420.9805555555554, 2438.4241666666667], [3178.7994444444444, 3454.6875], [3764.9605555555554, 3771.1033333333335]]","[[3454.6875, 3764.9605555555554]]"
00e4dba2-36d2-42b4-beb1-c55aed75f506,[],"[[13285.465, 19439.800555555557]]"
00f035b7-ad7a-4f30-9081-522a3c10805b,[],"[[0.0, 42.75]]"
01a0c034-6afc-4e73-95fa-621f702a0b7d,[],"[[0.0, 491.98305555555555]]"
01a530d3-6496-4515-9fbb-4f44e298fd29,[],"[[4921.376666666667, 6209.231666666667]]"
01aaea9a-ad84-4e6d-9945-48c8b12437a7,[],"[[2547.163888888889, 4821.4425]]"
01c3faa0-cbe3-47c5-b7d4-f067748202d3,[],[]
01d23ae5-ccfb-48ca-95e8-908c7813a2b1,[],[]
01dd93fd-56c2-4d30-889a-4afd85126784,[],"[[3499.3475, 3592.4466666666667]]"
0a1c3899-24d5-43aa-9b86-3115b3eeca64,[],"[[1.6480555555555556, 400.73]]"
0a269af2-4455-4897-8a01-308ff137b15b,"[[10045.820833333333, 10165.977777777778]]",[]
0a497cb3-4a85-4df9-9dc2-b814f4ad33b4,[],"[[19.621666666666666, 339.59805555555556], [11554.2275, 11579.2825]]"
0a4c4fd4-25f6-4585-b8c8-b24fcf34cb28,[],"[[1552.2341666666666, 1747.1905555555556]]"
0a9816bb-2a0f-44fa-82ad-cdb6e0d0eeaf,"[[1172.6930555555555, 1173.3916666666667], [1268.9944444444445, 1439.7258333333334]]","[[1159.6008333333334, 1172.6930555555555], [1173.3916666666667, 1227.515]]"
0abc6388-1e87-4d01-99d3-a86d5731d168,[],[]
0ad8ecc0-2995-4ee0-832c-5b5b4fa76f36,"[[2329.0, 3457.0]]","[[3457.0, 3913.0]]"
0ae3634c-2236-42bc-94c4-571ca1b37673,"[[2305.0, 2953.0]]",[]
0b01ecfc-468f-4c43-a9fb-0b6c91b5de86,[],"[[0.0, 3817.2008333333333]]"
0b13b479-a0cf-4ecc-a7f1-02d9edcbd56c,[],"[[0.02, 910.2777777777778]]"
0b38bcd7-50b0-4a1d-bffe-1357d28381f0,[],[]
0b927320-1e39-430f-838e-ed8d5f32f348,[],[]
0bb24bd2-b325-40ae-8de6-a60782494f72,"[[2248.9280555555556, 2340.244166666667]]","[[2340.244166666667, 4735.974166666667], [11920.838055555556, 12096.868888888888]]"
0c0f4c97-aedd-42e6-9a3c-b5f628833c86,"[[497.48305555555555, 671.8]]",[]
0c24fc2b-e3fe-46c9-b2a1-35932e799ecf,[],[]
0c2c3798-bf13-4d0b-8af1-c097862caa17,[],"[[0.0, 66.56027777777778], [461.8305555555556, 517.9905555555556]]"
0c31a588-734e-4641-b48c-cd46604c47a2,"[[2329.0, 3457.0]]",[]
0c7cfac7-5aac-457c-9d7b-c4b87685cb3f,"[[234.14305555555555, 1341.3944444444444]]","[[1341.3944444444444, 1697.6680555555556]]"
0ccb2b73-3c2f-48d4-88cb-715a71041aa6,[],"[[3257.293888888889, 3780.9525]]"
0cce17b6-74da-4db1-bba3-609f51c73840,[],"[[597.1133333333333, 662.3091666666667]]"
0cd8b373-f6a5-4769-95aa-cbb8459b9395,[],"[[2922.0802777777776, 3654.3258333333333], [6565.525833333333, 7434.524166666667], [7979.5280555555555, 8532.328055555556], [8752.358055555556, 9449.079166666666], [9450.051944444445, 10140.250277777777]]"
0cf074b1-e43b-4107-8936-53a289d8dafe,[],[]
0cf09d9d-2504-4989-ad68-62d41d151eff,"[[16.816666666666666, 28.825], [28.825, 53.033055555555556], [53.033055555555556, 108.49166666666666]]",[]
0d038dc5-922c-47bb-a852-47225352182e,[],"[[0.0, 484.94388888888886]]"
0d042063-bf60-46f3-81eb-1e3ff422f05e,"[[2343.0630555555554, 3019.7725]]","[[3019.7725, 3377.0030555555554]]"
0d1c4b74-8785-4a97-ac3a-4fa9f520b5ad,[],"[[815.8816666666667, 997.6480555555555]]"
0d23bf0b-ac9f-4030-ac57-3e61d8b07ceb,[],[]
0d37c186-2852-42f9-8336-2c73b25402ff,[],"[[1.2469444444444444, 1273.1605555555554]]"
0d3f1e79-6370-4a84-b26a-66ad27c7704b,[],"[[2741.742777777778, 4618.724166666667]]"
