file,recovery,drop
088b59d5-d011-47ca-8738-f46683596220,"[[2361.896944, 3228.935278]]",[]
09bc865d-589e-4fcc-9b7e-4ac674a390dd,"[[2215.502222, 2315.322778]]","[[2331.06, 2718.846111]]"
13850102-9e0e-4e3a-842c-00b993d62045,[],"[[2549.910556, 3505.874444]]"
15ed4c6f-686e-4b60-97ea-ed55a1f00ce9,"[[3277.164167, 3475.933056]]","[[0.0, 93.610833], [3476.440556, 3552.62]]"
164abd51-13d5-4a6f-9841-46d82937e377,"[[5669.782222, 5925.228333], [19903.676667, 19973.403611], [20453.945833, 20546.001944]]","[[5933.880556, 6354.14], [19974.096111, 20329.698611], [20546.696667, 21024.745556]]"
17859c48-3b19-48d6-a79b-793390e70803,[],"[[0.0, 1501.666667]]"
1896a0c8-8130-472e-ba6f-9dcfed363dce,"[[321.425556, 1977.554444], [4605.624444, 5005.284444]]","[[1978.11, 2826.83], [5010.008333, 5643.052778]]"
1c0e8d10-ba4a-499f-8159-bde6dc70b1c8,[],"[[0.0, 1804.403333]]"
1c9db047-e335-46ac-8039-effd8589b25b,"[[277.841944, 339.637778], [2331.093056, 2382.882778]]","[[339.769444, 531.27], [2383.083611, 2799.709722]]"
1cbce6e5-9f0b-419f-9527-7add4e255217,"[[3150.776111, 3615.149167]]","[[3615.444167, 4000.207778], [8214.583611, 8493.743056]]"
21159492-d8fd-4f36-b482-6e5dccdf11a6,"[[3276.595278, 3537.334167]]","[[3602.774444, 4125.155278]]"
2c0617b6-c11e-4c96-bd35-1efd2d5a7730,"[[2392.509722, 3487.9825], [4684.921111, 5183.328611]]","[[3488.820833, 3693.22], [5183.366944, 5300.409444], [8517.979444, 8538.325833]]"
30a70201-c4ce-459a-b392-62daaeafd97d,"[[424.5, 470.833333], [1526.583333, 1579.25]]","[[470.916667, 654.833333], [1581.083333, 1598.75]]"
31210932-757a-44c9-ad24-e4d44bb7344b,"[[2384.013889, 2924.692778], [8002.348889, 8124.188611]]","[[3421.219167, 3550.747222], [7854.412222, 7893.622778], [8124.725556, 8386.71]]"
3da1f16c-3e38-457e-8c5c-a5653f5d7a1d,"[[2900.736389, 3203.370278], [9786.311389, 10056.591111]]","[[10282.808611, 10529.219167]]"
4222e5c2-7a87-409d-b55f-75db4c482f00,"[[2231.3075, 3378.531944]]","[[3455.303333, 3616.246389]]"
42a6cefb-1e17-4c8f-b5dd-5cc5d9fe0526,"[[2307.63, 2840.408333], [3043.746389, 3365.478611]]","[[2841.484722, 3003.430556], [3438.484167, 3972.699167]]"
4383de67-ff8a-4822-a2ef-133c24b3631c,"[[2331.228056, 3175.728056]]","[[3452.990833, 3959.469444]]"
46c4657d-5d3d-4282-87a8-0c9c053e598e,"[[160.641389, 611.576944]]","[[720.905556, 1273.215556]]"
4b144e52-3d8f-4c8b-82a0-a1e9725794a9,"[[1777.272778, 2750.104444]]","[[2767.2625, 3045.706944]]"
4e8d1307-8689-45c8-b7ab-69c63f00ff55,"[[9501.974722, 9590.689722], [12034.846111, 12387.928056]]","[[10712.645278, 11581.120556], [12388.969444, 12706.6975]]"
4f6cb554-2580-432b-9060-76102d07fdb9,"[[1332.901667, 1487.560833]]","[[1531.117222, 1780.143056]]"
5795fed1-df25-48e6-91cc-b374bbbee1aa,"[[171.821389, 193.952222], [4363.180556, 4377.698889]]","[[0.0, 72.218333], [194.218889, 266.115556], [3892.4, 4085.928333], [4377.973889, 4584.5075]]"
5dbc4812-135e-4e6b-9a14-e2cde50489f5,"[[16803.835556, 16968.281111]]","[[16992.571111, 17103.415833]]"
6067f320-345a-442a-b546-660103093ca1,"[[1696.354722, 1746.009167]]","[[1774.058333, 2120.180833]]"
627507d6-b21b-4a3e-9118-768d2ee3d81e,"[[1703.160278, 2651.059722], [3113.253889, 3420.3275]]","[[3578.305, 3604.728056]]"
62ace5dd-525c-4a7a-9463-080e8abef19d,"[[6240.0, 6378.016667]]","[[3588.016667, 3742.016667], [3998.016667, 4510.0]]"
63cd28dc-ded4-4aca-8f10-09d76be673d1,"[[2348.194722, 2881.126389]]","[[3511.295278, 3670.823889], [9039.038889, 9218.618333]]"
6951f347-3d7a-42fd-8668-d24c6853c23a,"[[2246.873611, 3338.528333]]","[[3481.826667, 3760.346111]]"
69e7e0fa-734a-465a-8de3-829b9b3dee7a,"[[11716.979722, 12187.260278]]",[]
6a6a609a-088c-4853-b129-3c93b5ab95ca,"[[452.699167, 649.624722]]","[[1217.556667, 1702.617222]]"
6b132b91-c5f9-4fd0-b8f0-22d2d9b3fbc1,"[[621.635278, 947.325278]]","[[947.513889, 1134.430278]]"
6ce2eacf-3a1e-4622-b288-06228d79fedc,"[[311.646111, 472.063889], [2355.921111, 2682.5525], [4187.459167, 4238.010833], [4470.331667, 4533.469167], [4887.338889, 4919.305556]]","[[3484.517222, 3605.011944], [4238.261111, 4296.906111], [4927.455833, 5246.416944]]"
6dbc34fc-4e94-4d56-9cff-2e3087d702ae,"[[132.205556, 335.730556], [11793.453611, 12341.178333]]","[[12342.805833, 12634.787222]]"
7dc0adee-fbfb-46a0-803d-54275561d1eb,"[[610.335556, 1174.077778], [3939.271389, 4079.725278], [11002.756111, 12243.605]]","[[1500.353333, 1745.603889], [4130.816111, 4296.328056], [12244.203056, 12800.099444]]"
7e07c834-456a-4ab2-8779-ab58d2888716,"[[11694.237222, 12211.514444]]","[[12212.078611, 12832.773889]]"
837241ab-62c5-437c-a78b-ebecb64b9905,"[[11126.826944, 12329.892778]]","[[12330.034722, 12520.517222]]"
8ed3816e-4a3f-41c1-9682-3c0f116827eb,"[[3229.940278, 3607.251389], [7325.549444, 7437.501667], [8022.398056, 8077.428333], [8129.886667, 8418.779722], [8587.078889, 8603.4875]]","[[3607.448056, 4137.451111], [7437.696111, 7652.766944], [8077.602778, 8125.472222], [8425.066389, 8948.705556]]"
